name,state,county_seat
CAMP,TX,
CAMPBELL,WY,
CAMPBELL,KY,
CAMPBELL,VA,
CAMPBELL,TN,
CAMPBELL,SD,
CANADIAN,OK,
CANDLER,GA,
CANNON,TN,
CANYON,ID,
CAPE GIRARDEAU,MO,
CAPE MAY,NJ,
CARBON,WY,
CARBON,MT,
CARBON,UT,
CARBON,PA,
CARIBOU,ID,
CARLISLE,KY,
CARLTON,MN,
CAROLINE,MD,
CAROLINE,VA,
CARROLL,MD,
CARROLL,IN,
CARROLL,NH,
CARROLL,KY,
CARROLL,IL,
CARROLL,AR,
CARROLL,GA,
CARROLL,VA,
CARROLL,TN,
CARROLL,IA,
CARROLL,OH,
CARROLL,MS,
CARROLL,MO,
CARSON,TX,
CARSON CITY,NV,
CARTER,MT,
CARTER,KY,
CARTER,OK,
CARTER,TN,
CARTER,MO,
CARTERET,NC,
CARVER,MN,
CASCADE,MT,
CASEY,KY,
CASS,IN,
CASS,MI,
CASS,MN,
CASS,NE,
CASS,IL,
CASS,IA,
CASS,TX,
CASS,MO,
CASS,ND,
CASSIA,ID,
CASTRO,TX,
CASWELL,NC,
CATAHOULA,LA,
CATAWBA,NC,
CATOOSA,GA,
CATRON,NM,
CATTARAUGUS,NY,
CAVALIER,ND,
CAYUGA,NY,
CECIL,MD,
CEDAR,MO,
CEDAR,IA,
CEDAR,NE,
CENTRE,PA,
CERRO GORDO,IA,
CHAFFEE,CO,
CHAMBERS,TX,
CHAMBERS,AL,
CHAMPAIGN,IL,
CHAMPAIGN,OH,
CHARITON,MO,
CHARLES,MD,
CHARLES CITY,VA,
CHARLES MIX,SD,
CHARLESTON,SC,
CHARLEVOIX,MI,
CHARLOTTE,FL,
CHARLOTTE,VA,
CHARLOTTESVILLE CITY,VA,
CHARLTON,GA,
CHASE,KS,
CHASE,NE,
CHATHAM,GA,
CHATHAM,NC,
CHATTAHOOCHEE,GA,
CHATTOOGA,GA,
CHAUTAUQUA,KS,
CHAUTAUQUA,NY,
CHAVES,NM,
CHEATHAM,TN,
CHEBOYGAN,MI,
CHELAN,WA,
CHEMUNG,NY,
CHENANGO,NY,
CHEROKEE,NC,
CHEROKEE,KS,
CHEROKEE,SC,
CHEROKEE,AL,
CHEROKEE,GA,
CHEROKEE,OK,
CHEROKEE,TX,
CHEROKEE,IA,
CHERRY,NE,
CHESAPEAKE CITY,VA,
CHESHIRE,NH,
CHESTER,PA,
CHESTER,SC,
CHESTER,TN,
CHESTERFIELD,SC,
CHESTERFIELD,VA,
CHEYENNE,KS,
CHEYENNE,CO,
CHEYENNE,NE,
CHICKASAW,IA,
CHICKASAW,MS,
CHICOT,AR,
CHILDRESS,TX,
CHILTON,AL,
CHIPPEWA,WI,
CHIPPEWA,MN,
CHIPPEWA,MI,
CHISAGO,MN,
CHITTENDEN,VT,
CHOCTAW,MS,
CHOCTAW,AL,
CHOCTAW,OK,
CHOUTEAU,MT,
CHOWAN,NC,
CHRISTIAN,MO,
CHRISTIAN,IL,
CHRISTIAN,KY,
CHURCHILL,NV,
CIBOLA,NM,
CIMARRON,OK,
CITRUS,FL,
CLACKAMAS,OR,
CLAIBORNE,MS,
CLAIBORNE,LA,
CLAIBORNE,TN,
CLALLAM,WA,
CLARE,MI,
CLARENDON,SC,
CLARION,PA,
CLARK,WA,
CLARK,ID,
CLARK,IN,
CLARK,WI,
CLARK,AR,
CLARK,KY,
CLARK,KS,
CLARK,NV,
CLARK,IL,
CLARK,OH,
CLARK,SD,
CLARK,MO,
CLARKE,MS,
CLARKE,VA,
CLARKE,AL,
CLARKE,GA,
CLARKE,IA,
CLATSOP,OR,
CLAY,TX,
CLAY,MS,
CLAY,GA,
CLAY,NC,
CLAY,AL,
CLAY,IN,
CLAY,KY,
CLAY,AR,
CLAY,KS,
CLAY,MN,
CLAY,IL,
CLAY,WV,
CLAY,NE,
CLAY,SD,
CLAY,TN,
CLAY,MO,
CLAY,IA,
CLAY,FL,
CLAYTON,IA,
CLAYTON,GA,
CLEAR CREEK,CO,
CLEARFIELD,PA,
CLEARWATER,ID,
CLEARWATER,MN,
CLEBURNE,AR,
CLEBURNE,AL,
CLERMONT,OH,
CLEVELAND,NC,
CLEVELAND,AR,
CLEVELAND,OK,
CLIFTON FORGE CITY,VA,
CLINCH,GA,
CLINTON,IA,
CLINTON,IN,
CLINTON,MI,
CLINTON,IL,
CLINTON,KY,
CLINTON,NY,
CLINTON,PA,
CLINTON,OH,
CLINTON,MO,
CLOUD,KS,
COAHOMA,MS,
COAL,OK,
COBB,GA,
COCHISE,AZ,
COCHRAN,TX,
COCKE,TN,
COCONINO,AZ,
CODINGTON,SD,
COFFEE,AL,
COFFEE,TN,
COFFEE,GA,
COFFEY,KS,
COKE,TX,
COLBERT,AL,
COLE,MO,
COLEMAN,TX,
COLES,IL,
COLFAX,NM,
COLFAX,NE,
COLLETON,SC,
COLLIER,FL,
COLLIN,TX,
COLLINGSWORTH,TX,
COLONIAL HEIGHTS CITY,VA,
COLORADO,TX,
COLQUITT,GA,
COLUMBIA,FL,
COLUMBIA,WA,
COLUMBIA,WI,
COLUMBIA,AR,
COLUMBIA,NY,
COLUMBIA,GA,
COLUMBIA,OR,
COLUMBIA,PA,
COLUMBIANA,OH,
COLUMBUS,NC,
COLUSA,CA,
COMAL,TX,
COMANCHE,TX,
COMANCHE,KS,
COMANCHE,OK,
CONCHO,TX,
CONCORDIA,LA,
CONECUH,AL,
CONEJOS,CO,
CONTRA COSTA,CA,
CONVERSE,WY,
CONWAY,AR,
COOK,IL,
COOK,MN,
COOK,GA,
COOKE,TX,
COOPER,MO,
COOS,NH,
COOS,OR,
COOSA,AL,
COPIAH,MS,
CORSON,SD,
CORTLAND,NY,
CORYELL,TX,
COSHOCTON,OH,
COSTILLA,CO,
COTTLE,TX,
COTTON,OK,
COTTONWOOD,MN,
COVINGTON,MS,
COVINGTON,AL,
COVINGTON CITY,VA,
COWETA,GA,
COWLEY,KS,
COWLITZ,WA,
CRAIG,VA,
CRAIG,OK,
CRAIGHEAD,AR,
CRANE,TX,
CRAVEN,NC,
CRAWFORD,MO,
CRAWFORD,WI,
CRAWFORD,IN,
CRAWFORD,KS,
CRAWFORD,AR,
CRAWFORD,IL,
CRAWFORD,MI,
CRAWFORD,GA,
CRAWFORD,PA,
CRAWFORD,OH,
CRAWFORD,IA,
CREEK,OK,
CRENSHAW,AL,
CRISP,GA,
CRITTENDEN,AR,
CRITTENDEN,KY,
CROCKETT,TX,
CROCKETT,TN,
CROOK,WY,
CROOK,OR,
CROSBY,TX,
CROSS,AR,
CROW WING,MN,
CROWLEY,CO,
CULBERSON,TX,
CULLMAN,AL,
CULPEPER,VA,
CUMBERLAND,NC,
CUMBERLAND,VA,
CUMBERLAND,ME,
CUMBERLAND,NJ,
CUMBERLAND,IL,
CUMBERLAND,KY,
CUMBERLAND,TN,
CUMBERLAND,PA,
CUMING,NE,
CURRITUCK,NC,
CURRY,NM,
CURRY,OR,
CUSTER,ID,
CUSTER,MT,
CUSTER,OK,
CUSTER,NE,
CUSTER,SD,
CUSTER,CO,
CUYAHOGA,OH,
DADE,MO,
DADE,GA,
DAGGETT,UT,
DAKOTA,MN,
DAKOTA,NE,
DALE,AL,
DALLAM,TX,
DALLAS,MO,
DALLAS,AR,
DALLAS,AL,
DALLAS,IA,
DALLAS,TX,
DANE,WI,
DANIELS,MT,
DANVILLE CITY,VA,
DARE,NC,
DARKE,OH,
DARLINGTON,SC,
DAUPHIN,PA,
DAVIDSON,TN,
DAVIDSON,NC,
DAVIE,NC,
DAVIESS,IN,
DAVIESS,KY,
DAVIESS,MO,
DAVIS,IA,
DAVIS,UT,
DAVISON,SD,
DAWES,NE,
DAWSON,MT,
DAWSON,GA,
DAWSON,TX,
DAWSON,NE,
DAY,SD,
DE BACA,NM,
DE KALB,IN,
DE KALB,AL,
DE KALB,IL,
DE SOTO,LA,
DE SOTO,FL,
DE SOTO,MS,
DE WITT,TX,
DEAF SMITH,TX,
DEARBORN,IN,
DECATUR,IN,
DECATUR,KS,
DECATUR,IA,
DECATUR,TN,
DECATUR,GA,
DEER LODGE,MT,
DEFIANCE,OH,
DEKALB,GA,
DEKALB,TN,
DEKALB,MO,
DEL NORTE,CA,
DELAWARE,PA,
DELAWARE,IN,
DELAWARE,NY,
DELAWARE,OH,
DELAWARE,OK,
DELAWARE,IA,
DELTA,CO,
DELTA,MI,
DELTA,TX,
DENALI,AK,
DENT,MO,
DENTON,TX,
DENVER,CO,
DES MOINES,IA,
DESCHUTES,OR,
DESHA,AR,
DEUEL,SD,
DEUEL,NE,
DEWEY,OK,
DEWEY,SD,
DEWITT,IL,
DICKENS,TX,
DICKENSON,VA,
DICKEY,ND,
DICKINSON,KS,
DICKINSON,MI,
DICKINSON,IA,
DICKSON,TN,
DILLINGHAM,AK,
DILLON,SC,
DIMMIT,TX,
DINWIDDIE,VA,
DISTRICT OF COLUMBIA,DC,
DIVIDE,ND,
DIXIE,FL,
DIXON,NE,
DODDRIDGE,WV,
DODGE,WI,
DODGE,MN,
DODGE,NE,
DODGE,GA,
DOLORES,CO,
DONA ANA,NM,
DONIPHAN,KS,
DONLEY,TX,
DOOLY,GA,
DOOR,WI,
DORCHESTER,MD,
DORCHESTER,SC,
DOUGHERTY,GA,
DOUGLAS,WA,
DOUGLAS,MO,
DOUGLAS,KS,
DOUGLAS,WI,
DOUGLAS,GA,
DOUGLAS,IL,
DOUGLAS,MN,
DOUGLAS,NV,
DOUGLAS,NE,
DOUGLAS,SD,
DOUGLAS,CO,
DOUGLAS,OR,
DREW,AR,
DU PAGE,IL,
DUBOIS,IN,
DUBUQUE,IA,
DUCHESNE,UT,
DUKES,MA,
DUNDY,NE,
DUNKLIN,MO,
DUNN,ND,
DUNN,WI,
DUPLIN,NC,
DURHAM,NC,
DUTCHESS,NY,
DUVAL,FL,
DUVAL,TX,
DYER,TN,
EAGLE,CO,
EARLY,GA,
EAST BATON ROUGE,LA,
EAST CARROLL,LA,
EAST FELICIANA,LA,
EASTLAND,TX,
EATON,MI,
EAU CLAIRE,WI,
ECHOLS,GA,
ECTOR,TX,
EDDY,ND,
EDDY,NM,
EDGAR,IL,
EDGECOMBE,NC,
EDGEFIELD,SC,
EDMONSON,KY,
EDMUNDS,SD,
EDWARDS,TX,
EDWARDS,KS,
EDWARDS,IL,
EFFINGHAM,IL,
EFFINGHAM,GA,
EL DORADO,CA,
EL PASO,TX,
EL PASO,CO,
ELBERT,GA,
ELBERT,CO,
ELK,KS,
ELK,PA,
ELKHART,IN,
ELKO,NV,
ELLIOTT,KY,
ELLIS,KS,
ELLIS,OK,
ELLIS,TX,
ELLSWORTH,KS,
ELMORE,ID,
ELMORE,AL,
EMANUEL,GA,
EMERY,UT,
EMMET,MI,
EMMET,IA,
EMMONS,ND,
EMPORIA CITY,VA,
ERATH,TX,
ERIE,NY,
ERIE,OH,
ERIE,PA,
ESCAMBIA,FL,
ESCAMBIA,AL,
ESMERALDA,NV,
ESSEX,VA,
ESSEX,MA,
ESSEX,VT,
ESSEX,NJ,
ESSEX,NY,
ESTILL,KY,
ETOWAH,AL,
EUREKA,NV,
EVANGELINE,LA,
EVANS,GA,
FAIRBANKS NORTH STAR,AK,
FAIRFAX,VA,
FAIRFAX CITY,VA,
FAIRFIELD,SC,
FAIRFIELD,CT,
FAIRFIELD,OH,
FALL RIVER,SD,
FALLON,MT,
FALLS,TX,
FALLS CHURCH CITY,VA,
FANNIN,GA,
FANNIN,TX,
FARIBAULT,MN,
FAULK,SD,
FAULKNER,AR,
FAUQUIER,VA,
FAYETTE,IN,
FAYETTE,GA,
FAYETTE,AL,
FAYETTE,KY,
FAYETTE,TX,
FAYETTE,IL,
FAYETTE,WV,
FAYETTE,OH,
FAYETTE,TN,
FAYETTE,PA,
FAYETTE,IA,
FENTRESS,TN,
FERGUS,MT,
FERRY,WA,
FILLMORE,MN,
FILLMORE,NE,
FINNEY,KS,
FISHER,TX,
FLAGLER,FL,
FLATHEAD,MT,
FLEMING,KY,
FLORENCE,WI,
FLORENCE,SC,
FLOYD,IN,
FLOYD,GA,
FLOYD,VA,
FLOYD,KY,
FLOYD,TX,
FLOYD,IA,
FLUVANNA,VA,
FOARD,TX,
FOND DU LAC,WI,
FORD,IL,
FORD,KS,
FOREST,WI,
FOREST,PA,
FORREST,MS,
FORSYTH,GA,
FORSYTH,NC,
FORT BEND,TX,
FOSTER,ND,
FOUNTAIN,IN,
FRANKLIN,IA,
FRANKLIN,FL,
FRANKLIN,MA,
FRANKLIN,WA,
FRANKLIN,LA,
FRANKLIN,MS,
FRANKLIN,ID,
FRANKLIN,IN,
FRANKLIN,KS,
FRANKLIN,AL,
FRANKLIN,ME,
FRANKLIN,KY,
FRANKLIN,VT,
FRANKLIN,VA,
FRANKLIN,AR,
FRANKLIN,GA,
FRANKLIN,TN,
FRANKLIN,NY,
FRANKLIN,IL,
FRANKLIN,OH,
FRANKLIN,MO,
FRANKLIN,NE,
FRANKLIN,TX,
FRANKLIN,NC,
FRANKLIN,PA,
FRANKLIN CITY,VA,
FREDERICK,MD,
FREDERICK,VA,
FREDERICKSBURG CITY,VA,
FREEBORN,MN,
FREESTONE,TX,
FREMONT,WY,
FREMONT,ID,
FREMONT,CO,
FREMONT,IA,
FRESNO,CA,
FRIO,TX,
FRONTIER,NE,
FULTON,IN,
FULTON,GA,
FULTON,AR,
FULTON,IL,
FULTON,KY,
FULTON,NY,
FULTON,OH,
FULTON,PA,
FURNAS,NE,
GADSDEN,FL,
GAGE,NE,
GAINES,TX,
GALAX CITY,VA,
GALLATIN,MT,
GALLATIN,KY,
GALLATIN,IL,
GALLIA,OH,
GALVESTON,TX,
GARDEN,NE,
GARFIELD,UT,
GARFIELD,CO,
GARFIELD,WA,
GARFIELD,MT,
GARFIELD,OK,
GARFIELD,NE,
GARLAND,AR,
GARRARD,KY,
GARRETT,MD,
GARVIN,OK,
GARZA,TX,
GASCONADE,MO,
GASTON,NC,
GATES,NC,
GEARY,KS,
GEAUGA,OH,
GEM,ID,
GENESEE,MI,
GENESEE,NY,
GENEVA,AL,
GENTRY,MO,
GEORGE,MS,
GEORGETOWN,SC,
GIBSON,IN,
GIBSON,TN,
GILA,AZ,
GILCHRIST,FL,
GILES,VA,
GILES,TN,
GILLESPIE,TX,
GILLIAM,OR,
GILMER,GA,
GILMER,WV,
GILPIN,CO,
GLACIER,MT,
GLADES,FL,
GLADWIN,MI,
GLASCOCK,GA,
GLASSCOCK,TX,
GLENN,CA,
GLOUCESTER,VA,
GLOUCESTER,NJ,
GLYNN,GA,
GOGEBIC,MI,
GOLDEN VALLEY,ND,
GOLDEN VALLEY,MT,
GOLIAD,TX,
GONZALES,TX,
GOOCHLAND,VA,
GOODHUE,MN,
GOODING,ID,
GORDON,GA,
GOSHEN,WY,
GOSPER,NE,
GOVE,KS,
GRADY,GA,
GRADY,OK,
GRAFTON,NH,
GRAHAM,NC,
GRAHAM,AZ,
GRAHAM,KS,
GRAINGER,TN,
GRAND,UT,
GRAND,CO,
GRAND FORKS,ND,
GRAND ISLE,VT,
GRAND TRAVERSE,MI,
GRANITE,MT,
GRANT,ND,
GRANT,WA,
GRANT,WI,
GRANT,IN,
GRANT,LA,
GRANT,AR,
GRANT,KY,
GRANT,NM,
GRANT,MN,
GRANT,KS,
GRANT,OK,
GRANT,SD,
GRANT,WV,
GRANT,NE,
GRANT,OR,
GRANVILLE,NC,
GRATIOT,MI,
GRAVES,KY,
GRAY,TX,
GRAY,KS,
GRAYS HARBOR,WA,
GRAYSON,KY,
GRAYSON,VA,
GRAYSON,TX,
GREELEY,KS,
GREELEY,NE,
GREEN,WI,
GREEN,KY,
GREEN LAKE,WI,
GREENBRIER,WV,
GREENE,MS,
GREENE,MO,
GREENE,VA,
GREENE,IN,
GREENE,AL,
GREENE,AR,
GREENE,IL,
GREENE,NY,
GREENE,TN,
GREENE,GA,
GREENE,IA,
GREENE,PA,
GREENE,OH,
GREENE,NC,
GREENLEE,AZ,
GREENSVILLE,VA,
GREENUP,KY,
GREENVILLE,SC,
GREENWOOD,KS,
GREENWOOD,SC,
GREER,OK,
GREGG,TX,
GREGORY,SD,
GRENADA,MS,
GRIGGS,ND,
GRIMES,TX,
GRUNDY,MO,
GRUNDY,IL,
GRUNDY,TN,
GRUNDY,IA,
GUADALUPE,TX,
GUADALUPE,NM,
GUERNSEY,OH,
GUILFORD,NC,
GULF,FL,
GUNNISON,CO,
GUTHRIE,IA,
GWINNETT,GA,
HAAKON,SD,
HABERSHAM,GA,
HAINES,AK,
HALE,AL,
HALE,TX,
HALIFAX,VA,
HALIFAX,NC,
HALL,GA,
HALL,TX,
HALL,NE,
HAMBLEN,TN,
HAMILTON,FL,
HAMILTON,IN,
HAMILTON,TX,
HAMILTON,KS,
HAMILTON,TN,
HAMILTON,NY,
HAMILTON,IL,
HAMILTON,IA,
HAMILTON,NE,
HAMILTON,OH,
HAMLIN,SD,
HAMPDEN,MA,
HAMPSHIRE,MA,
HAMPSHIRE,WV,
HAMPTON,SC,
HAMPTON CITY,VA,
HANCOCK,IN,
HANCOCK,MS,
HANCOCK,ME,
HANCOCK,IL,
HANCOCK,KY,
HANCOCK,TN,
HANCOCK,WV,
HANCOCK,GA,
HANCOCK,IA,
HANCOCK,OH,
HAND,SD,
HANOVER,VA,
HANSFORD,TX,
HANSON,SD,
HARALSON,GA,
HARDEE,FL,
HARDEMAN,TX,
HARDEMAN,TN,
HARDIN,TX,
HARDIN,KY,
HARDIN,IA,
HARDIN,IL,
HARDIN,OH,
HARDIN,TN,
HARDING,NM,
HARDING,SD,
HARDY,WV,
HARFORD,MD,
HARLAN,KY,
HARLAN,NE,
HARMON,OK,
HARNETT,NC,
HARNEY,OR,
HARPER,KS,
HARPER,OK,
HARRIS,TX,
HARRIS,GA,
HARRISON,MS,
HARRISON,IN,
HARRISON,KY,
HARRISON,WV,
HARRISON,OH,
HARRISON,TX,
HARRISON,MO,
HARRISON,IA,
HARRISONBURG CITY,VA,
HART,GA,
HART,KY,
HARTFORD,CT,
HARTLEY,TX,
HARVEY,KS,
HASKELL,TX,
HASKELL,KS,
HASKELL,OK,
HAWAII,HI,
HAWKINS,TN,
HAYES,NE,
HAYS,TX,
HAYWOOD,NC,
HAYWOOD,TN,
HEARD,GA,
HEMPHILL,TX,
HEMPSTEAD,AR,
HENDERSON,NC,
HENDERSON,IL,
HENDERSON,KY,
HENDERSON,TN,
HENDERSON,TX,
HENDRICKS,IN,
HENDRY,FL,
HENNEPIN,MN,
HENRICO,VA,
HENRY,MO,
HENRY,IA,
HENRY,IN,
HENRY,KY,
HENRY,AL,
HENRY,IL,
HENRY,VA,
HENRY,GA,
HENRY,TN,
HENRY,OH,
HERKIMER,NY,
HERNANDO,FL,
HERTFORD,NC,
HETTINGER,ND,
HICKMAN,TN,
HICKMAN,KY,
HICKORY,MO,
HIDALGO,TX,
HIDALGO,NM,
HIGHLAND,VA,
HIGHLAND,OH,
HIGHLANDS,FL,
HILL,TX,
HILL,MT,
HILLSBOROUGH,FL,
HILLSBOROUGH,NH,
HILLSDALE,MI,
HINDS,MS,
HINSDALE,CO,
HITCHCOCK,NE,
HOCKING,OH,
HOCKLEY,TX,
HODGEMAN,KS,
HOKE,NC,
HOLMES,FL,
HOLMES,OH,
HOLMES,MS,
HOLT,NE,
HOLT,MO,
HONOLULU,HI,
HOOD,TX,
HOOD RIVER,OR,
HOOKER,NE,
HOPEWELL CITY,VA,
HOPKINS,KY,
HOPKINS,TX,
HORRY,SC,
HOT SPRING,AR,
HOT SPRINGS,WY,
HOUGHTON,MI,
HOUSTON,AL,
HOUSTON,MN,
HOUSTON,TN,
HOUSTON,GA,
HOUSTON,TX,
HOWARD,MO,
HOWARD,MD,
HOWARD,IN,
HOWARD,AR,
HOWARD,TX,
HOWARD,NE,
HOWARD,IA,
